how's your mother?	hur mår din mor?
this is impossible.	det är omöjligt.
they found nothing.	de hittade ingenting.
you know i can do it.	du vet att jag klarar det.
i'll go if you insist.	jag går om du insisterar.
what does tom teach?	vad lär tom ut?
they can add a literal translation.	de kan lägga till en ordagrann översättning.
sami saw layla on the news.	sami såg layla på nyheterna.
you'd fight back, wouldn't you?	du skulle kämpa emot, eller hur?
you can sleep here tonight.	ni kan sova här inatt.
you've got to come with me.	du måste följa med mig.
tom's password was easy to guess.	toms lösenord var lätt att gissa.
transplants save lives.	transplantationer räddar liv.
the fish doesn't taste good.	fisken smakar inte gott.
he yawned.	han gäspade.
what do we have here?	vad har vi här?
who am i talking with?	med vem talar jag?
tom still hasn't shown up.	tom har fortfarande inte dykt up.
i watched a movie.	jag tittade på en film.
i have an eating disorder.	jag har en ätstörning.
i forgot to phone mr. ford.	jag glömde att ringa herr ford.
he shaves daily.	han rakar sig dagligen.
i couldn't stop tom.	jag kunde inte stoppa tom.
she knew me.	hon kände mig.
he suffers from agoraphobia.	han lider av agorafobi.
these are all i have.	de här är de enda jag har.
my friends visited me yesterday.	mina vänner besökte mig i går.
i very nearly had a heart attack and died.	jag var nära att dö av en hjärtattack.
tom is a very wise man.	tom är en väldigt vis man.
he changed jobs.	han bytte jobb.
either tom's lying or mary's lying.	det är antingen tom eller mary som ljuger.
he didn't reply to my letter.	han svarade inte på mitt brev.
how bad was it?	hur illa var det?
my friends did that without me.	mina vänner gjorde det utan mig.
do you really want that on your conscience?	vill du verkligen ha det på ditt samvete?
he was at home.	han var hemma.
she barely speaks to me anymore.	hon pratar knappast med mig längre.
i tried to keep from laughing.	jag försökte att inte skratta.
i won't wait forever.	jag kommer inte att vänta för alltid.
can you understand this language?	kan ni förstå detta språk?
i have to cancel.	jag måste ställa in.
tom was the brains of the operation.	tom var hjärnan bakom operationen.
tom wasn't very busy.	tom var inte särskilt upptagen.
let's decide by coin toss.	vi singlar slant om det.
i worked for tom.	jag arbetade för tom.
i will not give an inch on this point.	jag böjer mig inte en millimeter i den här frågan.
can you give us a ride home?	kan du skjutsa oss hem?
there's snow on the ground.	det är snö på marken.
tomorrow it's christmas.	i morgon är det jul.
she is responsible.	hon är ansvarsfull.
tom hit me.	tom slog mig.
tom survived the plane crash.	tom överlevde flygkraschen.
look, no one's pointing a gun to your head. you don't have to go if you don't want to.	hallå, ingen håller en pistol mot ditt huvud. du måste inte gå om du inte vill.
anyone can see that.	det kan vem som helst se.
i thought you'd like it.	jag trodde att ni skulle tycka om den.
my favorite dance is the tango.	min favoritdans är tango.
i've seen you on tv.	jag har sett dig på tv.
can you contact tom?	kan du kontakta tom?
i'm going to play soccer after school.	jag ska spela fotboll efter skolan.
i saw a car hit a man.	jag såg en bil köra på en man.
i like reading mysteries.	jag gillar att läsa deckare.
mary helped her mother cook.	mary hjälpte sin mor att laga mat.
they haven't fixed a date for their wedding yet.	de har ännu inte fastlagt datumet för sitt bröllop.
she buys bread.	hon köper bröd.
my grandfather likes to walk.	min farfar tycker om att promenera.
we're going to protect you.	vi ska skydda dig.
this water tastes good.	det här vattnet smakar bra.
yanni leaned against the tree.	yanni lutade sig mot trädet.
someone called.	någon ringde.
tom is going to drive mary to the airport.	tom ska köra maria till flygplatsen.
do you think you can get me in?	tror du att ni kan få in mig?
here lives one bear.	här bor en björn.
a man's face is his autobiography. a woman's face is her work of fiction.	en mans ansikte är hans självbiografi. en kvinnas ansikte är hennes skönlitterära verk.
don't waste your time.	ödsla inte din tid.
stop being so curious.	sluta vara så nyfiken.
rub the stain with vinegar.	gnugga fläcken med vinäger.
return immediately.	kom genast tillbaka.
i'm very dangerous.	jag är mycket farlig.
tom did a sloppy job.	tom gjorde ett hafsverk.
tom looks crushed.	tom ser förkrossad ut.
i live in malta.	jag bor på malta.
are you still busy?	är du fortfarande upptagen?
he won three million when she participated in the lottery.	han vann tre miljoner när hon spelade på lotteri.
are we only friends?	är vi bara vänner?
there was always too much superfluous writing in his essays.	det var alltid för mycket överflödig text i hans uppsatser.
how many apples do you want me to buy?	hur många äpplen vill ni att jag ska köpa?
she bit her lower lip.	hon bet sig i underläppen.
i figured i'd be safe here.	jag förmodade att jag skulle vara säker här.
my dad is stronger than your dad.	min pappa är starkare än din.
we were very hungry.	vi var väldigt hungriga.
are you serious?	menar du allvar?
tom is a dedicated follower of fashion.	tom följer hängivet det senaste modet.
he is sitting on the chair.	han sitter på stolen.
a little louder.	lite högre.
does tom have one?	har tom en?
the house was ablaze.	huset var övertänt.
i see five men.	jag ser fem män.
i'm not thirsty.	jag är inte törstig.
i need it now.	jag behöver den nu.
what do we know?	vad vet vi?
tom needs attention.	tom behöver uppmärksamhet.
please wait.	var vänlig vänta.
why bring it up now?	varför ta upp det nu?
it was just a hypothetical question.	det är bara en hypotetisk fråga.
the garden was full of beautiful flowers.	trädgården var full av vackra blommor.
get tom away from here.	få bort tom härifrån.
tom saved me.	tom räddade mig.
i like arabic.	jag gillar arabiska.
animals are our friends.	djur är våra vänner.
hold on a moment.	vänta ett ögonblick.
i want to build up my vocabulary.	jag vill bygga upp mitt ordförråd.
there's something wrong with her.	det är något fel på henne.
he witnessed the accident.	han bevittnade olyckan.
he has been gaining weight.	han har blivit rundare.
tom really wants to go to boston.	tom vill verkligen åka till boston.
today, i am feeling a lot better.	i dag mår jag mycket bättre.
do you feel bad?	känns det inte bra?
who painted this painting?	vem målade den här målningen?
the look on your face says it all.	ditt ansikte säger allt.
the test result isn't what i expected.	provresultatet var inte vad jag förväntat mig.
they argue a lot.	de grälar mycket.
the truth is bitter.	sanningen är bitter.
how could tom know?	hur kunde tom veta det?
tom's parents are both murderers.	båda toms föräldrar är mördare.
i will never forget your kindness as long as i live.	jag kommer inte att glömma bort din vänlighet så länge jag lever.
i'm an atheist.	jag är ateist.
sami is not supposed to work today.	sami ska inte arbeta idag.
"are the drinks free?" "only for ladies."	"är drinkarna gratis?" "bara åt damer."
are you kids hungry?	är ni hungriga, barn?
there are several reasons.	det finns åtskilliga orsaker.
we were at the park.	vi var på parkeringen.
you're probably tired.	du är antagligen trött.
sami, please don't let me die.	sami, snälla, låt mig inte dö.
tom wants justice.	tom vill ha rättvisa.
he died in his bed.	han dog i sin säng.
i confronted tom after the meeting.	jag konfronterade tom efter mötet.
i believe he is competent.	jag tycker att hon duger.
i play tennis an hour a day.	jag spelar tennis en timme varje dag.
where would i find books?	var får jag tag på böcker?
can i think about it?	kan jag tänka på det?
i would like to go to sleep now.	jag skulle vilja gå och sova nu.
it wasn't working.	det fungerade inte.
tell me what tom said.	berätta för mig vad tom sa.
he's wealthy, isn't he?	han är rik, eller hur?
she can't afford it.	hon har inte råd med det.
i'm pansexual.	jag är pansexuell.
i believe her story.	jag tror på hennes berättelse.
don't close it!	stäng den inte!
tom was tired, but not sleepy.	tom var trött, men inte sömnig.
the only language tom can speak is french.	det enda språk som tom kan tala är franska.
sometimes he talks a little weird.	han snackar lita konstigt ibland.
there should be no minimum wage.	det borde inte finnas någon minimilön.
tom found the missing money.	tom hittade de försvunna pengarna.
tom never saw him again.	tom såg honom aldrig igen.
that was an evil bunny.	det var en ond kanin.
i know i can't throw a ball very well.	jag vet att jag inte är så duktig på att kasta boll.
i feel responsible for what happened.	jag känner mig skyldig till det som hände.
do you know anything about him?	vet du något om honom?
you know that feeling?	du vet den där känslan?
you're not that crazy.	du är inte så galen.
the neighbours are quiet.	grannarna är tysta.
wonderful!	härlig!
rabbits have long ears and short tails.	kaniner har långa öron och korta svansar.
i have good ears.	jag har god hörsel.
tom has been hurt.	tom är skadad.
have you ever used instagram?	har du någonsin använt instagram?
the vampire is sucking my blood.	vampyren suger mitt blod.
did tom hurt mary?	gjorde tom mary illa?
i have three questions for you.	jag har tre frågor till dig.
leave the book where it was.	lämna boken där den var.
it's necessary.	det är nödvändigt.
i don't know what time it is.	jag vet inte vad klockan är.
turn off the tv!	stäng av tv:n!
can you manage lifting this box?	klarar du att lyfta den här lådan?
mr. smith came.	mr. smith kom.
tom is extremely busy now.	tom är oerhört upptagen just nu.
is it necessary?	är det nödvändigt?
dan was terminally ill and wasn't responding to treatment.	dan låg för döden och svarade inte på behandlingen.
i don't heat their house for them.	jag värmer inte upp deras hus åt dem.
we're taxpayers.	vi är skattebetalare.
stop moving.	rör dig inte.
you're the most beautiful girl i've ever seen.	du är den vackraste flicka jag någonsin sett.
the leaders of the two countries refused to meet halfway.	de två ländernas ledare vägrade att mötas på halva vägen.
did tom do that for you?	gjorde tom det åt dig?
tom made a decision.	tom tog ett beslut.
go up these stairs.	gå upp för den här trappan.
tom signed the papers that mary asked him to sign.	tom skrev under pappren som mary bad honom att signera.
i hate these words.	jag hatar de här orden.
see you tomorrow!	vi ses i morgon!
do you understand me?	förstår du mig?
can i have a hug?	kan jag få en kram?
i'll come as soon as i can.	jag kommer så fort jag kan.
he may well be right.	han kan mycket väl ha rätt.
tom's cheating.	tom fuskar.
we learn arabic.	vi lär oss arabiska.
we kept fighting back.	vi fortsatte att kämpa emot.
the town was deserted.	staden låg öde.
i wish i'd called tom.	jag önskar att jag hade ringt tom.
it wouldn't have made any difference.	det skulle inte ha gjort någon skillnad.
a passing car hit a puddle and splashed water all over me.	en förbipasserande bil körde i en vattenpöl och stänkte ned hela mig.
she speaks english as if she were a native speaker.	hon pratar engelska som om det vore hennes modersmål.
why didn't you go first?	varför gick ni inte först?
tom let me in.	tom släppte in mig.
she never lies.	hon ljuger aldrig.
did you see tom there?	såg ni tom där?
get a move on.	rör på benen.
he is often late for school.	han är ofta förskenad till skolan.
tom got embarrassed.	tom blev förlägen.
did you eat anything?	åt du något?
we probably don't want to do that again any time soon.	vi kommer troligen inte att göra det igen på ett tag.
tom'll live.	tom överlever nog.
that'll put you in danger.	det kommer försätta dig i fara.
she has a large bosom.	hon har en stor byst.
he demanded that his salary be increased.	han krävde att hans lön skulle höjas.
be friendly.	var vänliga.
are you afraid of horror movies?	är du rädd för skräckfilmer?
she will pay for everything.	hon kommer att betala för allting.
do you blame tom?	lägger du skulden på tom?
the judge acknowledged him the winner.	domaren utgav honom som vinnare.
how many games do you have in your collection?	hur många spel har du i din samling?
i actually don't know the answer.	jag vet faktiskt inte svaret.
do you think it'll make a difference?	tror du att det kommer att göra någon skillnad?
she ate the apple.	hon åt äpplet.
we hope the others will join us.	vi hoppas att andra kommer att ansluta sig till oss.
we are three lonely women.	vi är tre ensamma kvinnor.
i couldn't sleep.	jag kunde inte sova.
what can they do?	vad kan de göra?
that sounds like a good deal.	det låter som en bra överenskommelse.
i have never eaten chinese food.	jag har aldrig ätit kinesisk mat.
have you become an angel?	har du blivit en ängel?
sami knows what that means.	sami vet vad det betyder.
these puppies are adorable.	dessa valpar är söta.
i know someone who can walk on water.	jag känner någon som kan gå på vatten.
i must find out.	jag måste få reda på det.
can you describe to me the difference between black tea and green tea?	kan du förklara skillnaden mellan svart te och grönt te för mig?
i'm afraid of heights.	jag är höjdrädd.
my name is tom.	jag heter tom.
tom said that it was too late.	tom sa att det var för sent.
they're the ones who want to go.	det är de som vill gå.
i haven't finished reading the book yet.	jag har inte läst ut boken än.
mary looks unfriendly, but she is really very kind at heart.	mary ser ovänlig ut, men egentligen har hon ett gott hjärta.
where can i buy apples?	var kan jag köpa äpplen?
he always treats me like a child.	han behandlar mig alltid som ett barn.
don't be so lazy.	var inte så lat.
i think mary likes me.	jag tror att mary gillar mig.
i rewarded tom.	jag belönade tom.
i saw him off at the airport.	jag vinkade av honom vid flygplatsen.
he is always finding fault with other people.	han anmärker alltid på andra människor.
what causes dandruff?	vad orsakar mjäll?
you are naughty.	ni är olydiga.
are you blushing?	rodnar du?
i'll tell you.	jag ska berätta för dig.
you always destroy everything.	du förstör alltid allting.
i like the sun.	jag gillar solen.
tom's hurt.	tom är skadad.
i don't have a clue how to play golf.	jag har ingen aning om hur man spelar golf.
i don't know the name of that temple.	jag vet inte vad det templet heter.
acting on advice from his astronomers, alexander the great decided not to attack egypt and went to india instead.	på inrådan av sina astronomer bestämde sig alexander den store för att inte attackera egypten och for till indien istället.
he is always busy.	han är jämt upptagen.
tom is discontented.	tom är missbelåten.
maybe he's not young.	han kanske inte är ung.
i am playing baseball.	jag spelar baseboll.
if you don't ask for something, you'll never get it.	om man inte ber om något får man det aldrig.
she was not quick enough.	hon var inte tillräckligt snabb.
he cycles to school.	han cyklar till skolan.
you don't have a life jacket.	du saknar flytväst.
i can't come up with a good excuse for being late for the dentist.	jag kan inte komma på någon bra ursäkt till varför jag är sen till tandläkaren.
do you often have fish for dinner?	äter du ofta fisk till middag?
i know all this.	jag kan allt det här.
he went to the store to buy some oranges.	han gick till affären för att köpa lite apelsiner.
did you say you would go?	sa du att du skulle gå?
i thought the police were looking for tom.	jag trodde att polisen letade efter tom.
lunch is ready.	lunchen är färdig.
i prefer red wine.	jag föredrar rött vin.
tom really doesn't like mary.	tom gillar verkligen inte mary.
are we disturbing you?	stör vi er?
the leaves in the park have already started to turn colors.	löven i parken har redan börjat skifta färg.
have you translated this sentence?	har du översatt den här meningen?
i bet you're busy.	jag slår vad om att du är upptagen.
we enjoyed swimming in the lake.	vi njöt av att simma i sjön.
nobody screamed.	ingen skrek.
i know that this is weird.	jag vet att det här är konstigt.
she hit him.	hon slog honom.
do you hear it?	hör du det?
if you do that, it will only have the opposite effect.	om du gör det, kommer det bara att få motsatt effekt.
i need more time.	jag behöver mer tid.
i wanted to make some telephone calls.	jag ville ringa några telefonsamtal.
only two of my great-grandparents lived long enough for me to meet them.	bara två av min farfars och min morfars föräldrar levde så länge att jag hann träffa dem.
don't bounce your ball here.	studsa inte din boll här.
tom gets upset very easily.	tom blir väldigt lätt upprörd.
i enjoy classical music.	jag njuter av klassisk musik.
nobody was hurt.	ingen skadades.
i'm finished eating.	jag har ätit färdigt.
i think we should wait.	jag tycker att vi borde vänta.
the next day was christmas day.	dagen därpå var juldagen.
i don't understand why people believe in ghosts.	jag förstår inte varför folk tror på spöken.
this is his car, i think.	det här är hans bil, tror jag.
tom is demented.	tom är sinnessjuk.
he gave me a present.	han gav mig en present.
are they japanese?	är de japanska?
evil always wins.	ondskan vinner alltid.
i am poor at tennis.	jag är dålig på tennis.
the house has been sold.	huset har sålts.
how is your father?	hur mår din far?
she's eating ice cream.	hon äter glass.
why are you following me?	varför följer ni efter mig?
we were pretty noisy.	vi förde ganska mycket oljud.
a huge monster is coming down the mountain.	ett enormt monster är på väg ned från berget.
we're going to get married.	vi ska gifta oss.
where is my comb?	var är min kam?
tom sent mary an invitation.	tom skickade mary en inbjudan.
no winter lasts forever.	ingen vinter varar för alltid.
go on the offensive.	gå på offensiven.
this is the coldest winter that we have had in thirty years.	det här är den kallaste vintern som vi har haft på trettio år.
reports are due next monday.	rapporterna ska lämnas in kommande måndag.
he closed his eyes.	han slöt sina ögon.
eat shit.	ät skit.
i was getting sleepy.	jag höll på att bli sömnig.
the icy road sparkled in the sunlight.	den isiga vägen glittrade i solljuset.
do you think it'll rain today?	tror ni att det kommer att regna idag?
i don't understand this sentence.	jag förstår inte den här meningen.
he served without any serious errors until he reached retirement age.	han tjänstgjorde utan allvarligare misstag till dess han uppnådde pension.
she danced.	hon dansade.
do you often drive a car to work?	kör du ofta bil till arbetet?
i liked your story.	jag gillade din historia.
do you think i could take tom?	får jag ta tom?
he threw me out of the house.	han kastade ut mig ur huset.
would you like me to drive?	vill du att jag ska köra?
it's my pleasure.	nöjet är på min sida.
how many languages do you speak?	hur många språk talar du?
i felt immediately a bit better.	jag kände mig genast lite bättre.
it tastes like shit.	det smakar som skit.
have you ever seen this flag?	har du någonsin sett den här flaggan?
his stupid answer surprised everybody.	hans dumma svar överraskade alla.
he is reading a book.	han läser en bok.
i'm afraid of bears.	jag är rädd för björnar.
may i have the menu and the wine list?	får jag be om matsedeln och vinlistan?
mary hates spiders.	mary hatar spindlar.
i couldn't rent a car.	jag fick inte hyra en bil.
it's stuffy in here.	det är kvalmigt här inne.
he is as old as i.	han är lika gammal som jag.
i'm not wearing this.	jag tänker inte ha på mig det här.
i would do anything for love.	jag skulle göra vad som helst för kärleken.
mary is spinning wool.	mary spinner ull.
why do you learn english?	varför lär du dig engelska?
my door is always open.	min dörr är alltid öppen.
you're aggressive.	ni är aggressiva.
fine, you don't have to.	okej då, du slipper.
i can play piano.	jag kan spela piano.
i want to travel.	jag vill resa.
tom has children.	tom har barn.
tom's fainted.	tom har svimmat.
the house is on fire.	huset brinner.
i was really unlucky.	jag hade verkligen otur.
ms. sato is the president's new secretary.	fröken sato är presidentens nya sekreterare.
i'm glad i was nearby.	jag är glad att jag var i närheten.
sami should give layla a chance.	sami borde ge layla en chans.
i'll do it.	jag ska göra det.
how do you say that?	hur säger man det?
the murderer was executed.	mördaren avrättades.
it is the calm before the storm.	det är lugnet innan stormen.
i think, therefore i am.	jag tänker, alltså är jag.
let me see.	låt mig se.
i want to play tennis with you someday.	jag vill spela tennis med dig någon gång.
i have a beer belly.	jag har ölmage.
some are expensive, and others are very cheap.	några är dyra medan andra är väldigt billiga.
tom isn't ugly.	tom är inte ful.
stay tuned. we'll be right back.	stanna kvar på kanalen. vi är strax tillbaka.
i'm not bitter.	jag är inte bitter.
do you see that moustachioed man over there?	ser du den mustaschprydda mannen där borta?
my sister likes ultraman.	min syster tycker om ultraman.
i'm going now!	jag drar nu!
i have a few tricks up my sleeve.	jag har några ess i rockärmen.
where's the bucket?	var är hinken?
i saw the car hit a man.	jag såg bilen köra på en man.
just what i needed.	precis vad jag behövde.
tom is known for that.	tom är känd för det.
the boy lost his way in the forest.	pojken gick vilse i skogen.
leave the cat alone.	lämna katten ifred.
have you seen tom yet?	har du sett tom än?
he achieved his purpose.	han uppnådde sitt syfte.
have you started yet?	har du börjat ännu?
the financial situation is getting worse week by week.	den finansiella situationen förvärras vecka för vecka.
i've heard many excuses before, but yours takes the cake.	jag har hört många ursäkter förut, men din tar priset.
we held our breath.	vi höll andan.
who cares about facts?	vem bryr sig om fakta?
they hate parties.	de hatar fester.
don't let tom see you.	låt inte tom se er.
i have to take care of this first.	jag måste ta hand om detta först.
are you a prisoner?	är du en fånge?
my family is fine, thanks.	min familj mår bra, tack.
we can take the elevator.	vi kan ta hissen.
she knows where she is.	hon vet var hon är.
in the beginning god created the heavens and the earth.	i begynnelsen skapade gud himmel och jord.
taiwan is preparing itself for a chinese invasion.	taiwan förbereder sig inför en kinesisk invasion.
do you want to eat anything?	vill ni äta något?
when i visited their apartment, the couple was right in the middle of an argument.	när jag besökte deras lägenhet, var paret mitt i ett gräl.
i'd like to change my seat.	jag skulle vilja byta plats.
i don't need an explanation.	jag behöver ingen förklaring.
it's on your desk.	det sitter på ditt skrivbord.
hold the ball with both hands.	håll bollen med båda händerna.
why is it important to recycle?	varför är det viktigt att återvinna?
it was my turn to clean the room.	det var min tur att städa rummet.
tom likes music.	tom gillar musik.
this house is well insulated.	det här huset är välisolerat.
did i do that?	var det jag som gjorde det där?
it's sand.	det är sand.
i am feeling younger again.	jag känner mig yngre igen.
necessity knows no law.	nöden har ingen lag.
it seems like the book store is also closing late.	det verkar som att bokaffären också stänger sent.
i only have butter in the fridge.	jag har bara smör i kylskåpet.
what are you insinuating?	vad är det ni insinuerar?
do you know who killed tom?	vet du vem som dödade tom?
the gods will reward you.	gudarna kommer att belöna er.
who can i talk to?	vem kan jag prata med?
all their secrets have been revealed.	alla deras hemligheter har avslöjats.
it was a complete disaster.	det var ett totalt misslyckande.
there were no signs of life on the island.	det fanns inga tecken på liv på ön.
did you catch them?	fick du fast dem?
let's get out of here before it's too late.	nu kör vi innan det blir för sent.
are you working tonight?	jobbar du ikväll?
it's not for you.	det är inte till dig.
we were at the park.	vi var vid parken.
give me three weeks.	ge mig tre veckor.
come aboard.	kom ombord.
have you eaten lunch yet?	har du ätit lunch än?
i'm tom's friend.	jag är toms vän.
i have a steel bladder.	jag har en blåsa av stål.
running is good for the health.	löpning är bra för hälsan.
tom hasn't phoned mary yet.	tom har inte ringt mary än.
don't use all the hot water.	använd inte allt varmvatten.
either you or he is wrong.	antingen har du eller han fel.
how did you find us?	hur hittade du oss?
do you like the insects?	gillar du insekter?
why would i want to do that?	varför skulle jag vilja göra det?
if the world weren't in the shape it is now, i could trust anyone.	om världen inte vore som den nu är skulle jag kunna lita på vem som helst.
how did you make out?	hur gick det för dig?
that's life.	sånt är livet.
i brought you some aspirin.	jag har köpt lite aspirin till dig
nothing unexpected happened today.	inget oväntat hände idag.
i am singing with my children.	jag sjunger med mina barn.
i wish tom was here with us today.	jag önskar att tom var här med oss idag.
would you like to be my friend?	skulle du vilja bli min vän?
you hardly ever complain about anything.	du klagar så gott som aldrig på någonting.
no pain is permanent.	ingen smärta varar för alltid.
when do the fireworks start?	när börjar fyrverkerierna?
he kept it secret.	han hemlighöll den.
this is your pudding.	det här är din pudding.
won't you give me a chance?	varför ger du mig inte en chans?
someone has stolen all my money.	någon har stulit alla mina pengar.
this isn't a great job, but it helps pay the bills.	det är inte ett jättebra jobb, men det betalar räkningarna.
we're not here to have fun.	vi är inte här för att ha roligt.
where are the keys?	var är nycklarna?
i am engaged to him.	jag är förlovad med honom.
it was believed that the earth was flat.	man trodde att jorden var platt.
it was only a kiss on the cheek.	det var bara en kyss på kinden.
i don't know where my dad is.	jag vet inte var min pappa är.
where's the entrance to the museum?	var är ingången till museet?
tom is implacable.	tom är enveten.
i hate to see animals suffer.	jag avskyr att se djur lida.
we don't have snow here.	vi har ingen snö här.
they're in my office.	de är på mitt kontor.
i'm surprised that he accepted the offer.	jag är förvånad att han accepterade erbjudandet.
the horses are nervous that there might be a thunderstorm tonight.	hästarna är nervösa att det ska bli åska i kväll.
he bought his daughter a new dress.	han köpte en ny klänning till sin dotter.
everything's dirt-cheap.	allt är jättebilligt.
go get your car.	gå och hämta din bil.
call them this evening.	ring dem i kväll.
why wasn't tom here today?	varför var tom inte här idag?
i like your dog.	jag gillar din hund.
mary hates me.	mary hatar mig.
i built a new house.	jag byggde ett nytt hus.
let's decorate the christmas tree.	låt oss klä julgranen.
she won't listen to anyone.	hon lyssnar inte på någon.
she goes online for several hours every day.	hon är online flera timmar varje dag.
love is an important thing.	kärleken är viktig.
it's as clear as day.	det är klart som dagen.
he stayed in at the hotel.	han stannade inne på hotellet.
i am going to play soccer after school.	jag ska spela fotboll efter skolan.
you have only one chance to answer correctly.	du har bara en chans att svara rätt.
i really am unlucky!	jag har verkligen otur!
tom played with his cats.	tom lekte med sina katter.
i got up early to be in time for the train.	jag gick upp tidigt för att hinna med tåget.
the priest blessed the children.	prästen välsignade barnen.
i hate those things.	jag hatar de där sakerna.
fadil likes sausage.	fadil gillar korv.
i don't speak chinese.	jag talar inte kinesiska.
it's not just a pen.	det är inte bara en penna.
he had fifty dollars.	han hade femtio dollar.
for me, it is important.	för mig är det viktigt.
i should never have started smoking.	jag borde aldrig ha börjat röka.
i can't remember what we did that day.	jag kommer inte ihåg vad vi gjorde den dagen.
many pretty flowers bloom in the spring.	många vackra blommor blommar på våren.
the thief smashed the window.	tjuven slog sänder fönstret.
have you a receipt?	har du ett recept?
what does your son do?	vad gör din son?
now i've seen everything.	nu har jag sett allt.
maybe tom was the one who stole mary's necklace.	det kanske var tom som stal marys halsband.
tom showed me the letter he got from mary.	tom visade mig brevet som han fick av mary.
open the window and let some fresh air in.	öppna fönstret och släpp in lite frisk luft.
the wind was so strong that the windows rattled.	vinden var så kraftig att fönstren skallrade.
it is too late for him.	det är för sent för honom.
you don't have to hide anything from me.	du behöver inte gömma någonting för mej.
what's tom's problem?	vad är toms problem?
i'm glad you like tom.	jag är glad att du gillar tom.
how many children do you want to have when you get married?	hur många barn vill du ha när du gifter dig?
how is your name pronounced?	hur uttalas ditt namn?
you should sleep.	ni borde sova.
we must clean our classroom.	vi måste städa vårt klassrum.
what's your name?	vad är ditt namn?
everyone talked about it.	alla pratade om det.
you are the man.	du är mannen.
are you sure it was tom?	är du säker på att det var tom?
i was thinking about the plan.	jag funderade på planen.
i have what you need.	jag har vad du behöver.
order was restored.	ordningen var återställd.
he is guilty of theft.	han är skyldig till stöld.
the water is not clean.	vattnet är inte rent.
the party got out of hand.	festen spårade ur.
my little finger hurts.	mitt lillfinger gör ont.
the man that i visited was mr. doi.	mannen som jag besökte var mr doi.
we've come to help.	vi har kommit för att hjälpa till.
it's quite common actually.	det är faktiskt ganska vanligt.
he stayed home with the kids.	han stannade hemma med barnen.
christmas fell on saturday that year.	det året föll julen på en lördag.
i do not eat meat, fish, shellfish, poultry or broth.	jag äter inte kött, fisk, skaldjur, fjäderfän eller buljong.
the lion is the king of the jungle.	lejonet är kungen av djungeln.
i love to teach.	jag älskar att undervisa.
you run into japanese tourists everywhere.	man stöter på japanska turister överallt.
men tire themselves in pursuit of rest.	män tröttar ut sig i jakt på vila.
i don't remember what tom looks like.	jag kommer inte ihåg hur tom ser ut.
she's lost her car key.	hon har tappat bort bilnyckeln.
i'm younger than tom.	jag är yngre än tom.
what he said turned out to be a lie.	det han sa visade sig vara en lögn.
would you like more?	skulle du vilja ha mer?
tom is too slow.	tom är för långsam.
do you want a banana?	vill ni ha en banan?
i want this puppy.	jag vill ha den här hundvalpen.
why would tom help us?	varför skulle tom hjälpa oss?
see below.	se nedan.
he reversed.	han backade.
what will we do now, captain?	vad ska vi göra nu kapten?
turn off the tv.	stäng av tv:n.
tom can't afford both.	tom har inte råd med bägge.
there's not a big difference.	det är inte stor skillnad.
when he smiled, the children saw his long, gray teeth.	när han log, såg barnen hans långa gråa tänder.
tom seldom laughs.	tom skrattar sällan.
i don't care about what clothes you're wearing.	jag bryr mig inte om vilka kläder du har på dig.
kiss tom.	kyss tom.
we're not sick.	vi är inte sjuka.
the world's largest zoo is in berlin, germany.	världens största djurpark finns i berlin, tyskland.
he died of cancer last year.	han dog i cancer förra året.
can you read?	kan du läsa?
he lived in central london.	han bodde i centrala london.
we are familiar with the legend of robin hood.	vi känner till legenden om robin hood.
this is a good show.	det här är en bra show.
what're you eating?	vad äter du?
tell him you like him. don't be afraid. he won't bite you.	säg till honom att du gillar honom. var inte rädd. han kommer inte att bita dig.
fight!	slåss!
i was just lucky.	jag hade bara tur.
those are your orders.	det där är dina order.
we can look it up.	vi kan kolla upp det.
tom doesn't really like mary.	tom gillar inte riktigt mary.
birds lay eggs.	fåglarna lägger ägg.
what did the man say?	vad sa mannen?
tom is always enthusiastic.	tom är alltid entusiastisk.
i have a new car.	jag har en ny bil.
the prisoner was behind bars for two months.	fången var bakom galler i två månader.
tom is lying on the ground.	tom ligger på backen.
i recovered.	jag hämtade mig.
here they come.	här kommer de.
speak more slowly.	prata långsammare.
he walks fast.	han går fort.
i'm pretty sure that tom wouldn't do that.	jag är ganska säker på att tom inte skulle göra något sånt.
what could it mean?	vad kan det betyda?
i'm your stepfather now.	jag är din styvfar nu.
i see your car.	jag ser din bil.
i would like to go to the usa.	jag skulle vilja åka till usa.
it is autumn again.	det är höst igen.
he looked as if he had been ill.	han såg ut som om han hade varit sjuk.
i've forgotten his name.	jag har glömt bort hans namn.
what you were taught is wrong.	det du har blivit lärd är oriktigt.
i can't believe that you kissed mary.	jag kan inte tro att du kysste mary.
you have three cars, don't you?	du har tre bilar, eller hur?
can you swim as fast as he?	kan du simma lika snabbt som honom?
i'm tired of tv.	jag är trött på tv.
you will understand that i'm telling the truth.	du kommer att förstå att jag säger sanningen.
i got paid yesterday.	jag fick betalt igår.
tom was big.	tom var stor.
i love this town.	jag älskar den här staden.
compared to her, i'm very impractical.	jämfört med henne är jag mycket opraktiskt.
you're really lucky i'm in a good mood today.	du har tur att jag är på gott humör idag.
you sharpened the knives.	du vässade knivarna.
this is not a mistake.	det här är inte något misstag.
how did you measure it?	hur mätte du det?
they voted.	de röstade.
